consulta,motor,doc_id,relevante_propuesto_ia,justificacion,no_verificable_por_titulo,relevante_final_equipo
argentina final,BM25,191,1,De la Fuente sobre la conducta de Argentina tras la final - relevante,False,1
argentina final,Semantico,66,1,Aficionado argentino celebrando clasificación a la final,False,0
argentina final,Semantico,51,1,Sobre la final Argentina-España en estilo anime,False,0
argentina final,Semantico,25,0,"Agresión Ayala-Dani Olmo, no específicamente sobre 'la final' como tema",False,0
argentina final,Semantico,151,1,"Detección sísmica del gol de España, contexto de la final",False,1
argentina final,Semantico,16,1,"Opinión sobre ganar el mundial y el fútbol, contexto de la final",False,1
spain world cup champion,BM25,1,0,"Despido de empleados que crearon el videojuego oficial, sin relación",False,0
spain world cup champion,BM25,137,1,España conquista valor de marca tras ser campeón - relevante,False,1
spain world cup champion,BM25,319,0,"Predicción pre-final de quién ganará, no confirma campeón",False,0
spain world cup champion,BM25,256,0,"Sobre el show de medio tiempo, no sobre ser campeón",False,0
spain world cup champion,BM25,190,1,Análisis de datos de cómo España ganó el mundial - relevante,False,1
spain world cup champion,Semantico,131,0,"Sección economía/empresas, no verificable con certeza",False,0
spain world cup champion,Semantico,89,1,Marca celebra la segunda estrella de España - relevante,False,1
spain world cup champion,Semantico,20,0,"Predicciones de apuestas, pre-resultado",False,0
spain world cup champion,Semantico,167,0,"Notas a jugadores, no sobre ser campeón",False,1
spain world cup champion,Semantico,69,1,"Goles de España en el mundial, revive los mejores - relevante al desempeño",False,1
controversy referee decision,BM25,310,1,Perfil del árbitro de la semifinal Inglaterra-Argentina - relevante,False,0
controversy referee decision,BM25,291,1,Las 5 controversias más grandes del torneo - directamente relevante,False,1
controversy referee decision,BM25,187,0,"Reflexión general '¿qué aprendimos?', no específico de controversia",False,0
controversy referee decision,BM25,221,0,"Reflexión general sobre contradicciones del torneo, muy genérico",False,0
controversy referee decision,BM25,328,0,"Historia de una disputa vikinga en Noruega, sin relación",False,0
controversy referee decision,Semantico,246,0,Video BBC sin texto - no_verificable_por_titulo,True,0
controversy referee decision,Semantico,101,1,Procedimiento disciplinario FIFA por incidentes en la final - relevante,False,0
controversy referee decision,Semantico,191,1,De la Fuente sobre conducta inaceptable de Argentina - relevante,False,0
controversy referee decision,Semantico,310,1,Perfil del árbitro de semifinal - relevante,False,0
controversy referee decision,Semantico,114,0,"Sobre el césped del estadio, no controversia arbitral",False,0
player injury world cup,BM25,137,0,"Valor de marca de España, no sobre lesión",False,0
player injury world cup,BM25,1,0,"Despido de empleados de videojuego, sin relación",False,0
player injury world cup,BM25,327,0,"Trump abucheado, sin relación",False,0
player injury world cup,BM25,326,0,"Reunión de crisis de Infantino, no sobre lesión",False,0
player injury world cup,BM25,325,0,"Celebración de aficion, no sobre lesión",False,0
player injury world cup,Semantico,313,0,"Estadísticas de goles/asistencias/tarjetas, no lesión específica",False,1
player injury world cup,Semantico,139,0,URL hash sin texto - no_verificable_por_titulo,True,0
player injury world cup,Semantico,259,0,Artículo de RT sin relación aparente,False,0
player injury world cup,Semantico,176,0,"Sobre Oyarzabal en general, no confirma lesión por el título",False,1
player injury world cup,Semantico,90,0,"Ranking de semifinales, no sobre lesión",False,0
fifa organización torneo,BM25,117,0,"Sobre el XI ideal del torneo, no organización FIFA",False,0
fifa organización torneo,BM25,53,0,URL hash BBC Mundo - no_verificable_por_titulo,True,0
fifa organización torneo,BM25,22,0,URL hash BBC Mundo - no_verificable_por_titulo,True,0
fifa organización torneo,BM25,33,0,"Cómo las marcas convierten momentos en historias, marketing no organización",False,0
fifa organización torneo,BM25,45,0,"Dónde ver la final, no sobre organización FIFA",False,0
fifa organización torneo,Semantico,101,1,Procedimiento disciplinario de FIFA - acción organizacional real,False,0
fifa organización torneo,Semantico,158,0,"Predicciones de EA Sports, sin relación a organización",False,0
fifa organización torneo,Semantico,117,0,"Sobre el XI ideal, no organización",False,0
fifa organización torneo,Semantico,283,1,Comunicado institucional de confederaciones sobre FIFA World Cup - relevante,False,1
fifa organización torneo,Semantico,53,0,URL hash BBC Mundo - no_verificable_por_titulo,True,0
estadio sede partido,BM25,62,0,"Sobre el árbitro llorando al saber que dirigirá la final, no sobre el estadio",False,0
estadio sede partido,BM25,154,1,Del estadio a la calle: cómo las marcas conquistaron el mundial - menciona estadio,False,0
estadio sede partido,BM25,170,0,"Declaraciones del entrenador, no sobre el estadio",False,0
estadio sede partido,BM25,19,1,El branding se juega en los estadios - directamente sobre estadios,False,0
estadio sede partido,BM25,48,0,"Dónde ver la semifinal, no sobre el estadio en sí",False,0
estadio sede partido,Semantico,114,1,"Secretos del estadio de la semifinal, el césped - directamente relevante",False,1
estadio sede partido,Semantico,35,0,URL hash El Mundo - no_verificable_por_titulo,True,0
estadio sede partido,Semantico,144,0,"Cántico de aficion argentina, no sobre el estadio",False,0
estadio sede partido,Semantico,47,0,"Dónde ver la semifinal, no sobre el estadio en sí",False,0
estadio sede partido,Semantico,278,0,Video ABC News sin texto - no_verificable_por_titulo,True,0
